gamma,learning_rate,step_size,weight_decay,best_val_loss,best_val_mae,best_val_mse,best_epoch,epoch_time_seconds,total_epochs
0.5,0.005,20,0.0,0.17685671267099679,1.413296889513731,8.66596707701683,23,4.179122538402162,29
0.25,0.01,10,1e-05,0.18001906340941787,1.4141709730029106,8.820924937725067,16,3.4480592131614687,20
0.1,0.0005,30,0.0001,0.19167949701659381,1.4184497818350792,9.392283007502556,43,3.64126916807525,49
0.25,0.001,20,1e-05,0.18559132842347026,1.4220230150967836,9.093969702720642,25,3.420910535320159,31
0.1,0.0005,30,1e-05,0.18970797350630164,1.4227937161922455,9.295678153634071,40,3.636003255844116,46
0.25,0.0005,30,1e-05,0.19071397627703846,1.4283482432365417,9.344977840781212,36,3.402999395277442,41
0.25,0.001,20,0.0001,0.18934829463250935,1.4327349252998829,9.27806206047535,31,3.4266760220398775,37
0.5,0.001,30,1e-05,0.18231622921302915,1.4415875356644392,8.933487609028816,30,3.6327138013309903,36
0.5,0.01,20,0.0001,0.18832094478420913,1.4429791904985905,9.227717906236649,27,4.384499152501424,33
0.1,0.001,20,0.0001,0.19254963053390384,1.4436765722930431,9.434920489788055,28,3.4743815263112388,33
0.25,0.001,10,1e-05,0.19304230622947216,1.4443766251206398,9.459068283438683,35,3.4542496535513134,36
0.1,0.01,30,0.0,0.18342028185725212,1.447671189904213,8.987587630748749,21,3.3742672778941967,27
0.5,0.005,20,0.0001,0.18336611823178828,1.4482641592621803,8.984933540225029,28,4.153892846668468,34
0.25,0.001,10,0.0001,0.1963353888131678,1.4486385807394981,9.620422929525375,30,3.4364705008845173,31
0.5,0.001,30,0.0001,0.19153169146738946,1.450109288096428,9.385042704641819,30,3.5766109360588922,36
0.1,0.001,10,0.0,0.20201604976318777,1.450483862310648,9.898779198527336,24,3.4470183231212475,27
0.25,0.005,10,0.0,0.18418951390776783,1.4515202231705189,9.025271564722061,12,3.3697317838668823,18
0.5,0.001,10,0.0,0.19472181587480009,1.4519248977303505,9.54136161506176,20,3.6119971733826857,26
0.1,0.001,10,1e-05,0.19967614277265966,1.453975647687912,9.784123480319977,20,3.5299477760608378,26
0.1,0.0005,20,1e-05,0.19864014815539122,1.4539818949997425,9.733358100056648,33,3.467461579885238,39
0.1,0.0005,20,0.0,0.19633868033997715,1.45909483730793,9.620584949851036,34,3.4777193201912775,36
0.25,0.0005,30,0.0001,0.19407403422519565,1.4598505422472954,9.509615197777748,40,3.4290754795074463,44
0.5,0.001,20,1e-05,0.18756231921724975,1.461220983415842,9.190543472766876,23,3.630015998051084,29
0.1,0.01,30,1e-05,0.18494319426827133,1.46434823051095,9.062207952141762,21,3.4302795198228626,27
0.1,0.01,10,0.001,0.19689764850772917,1.465091496706009,9.647979393601418,26,3.4315063878893852,32
0.25,0.0005,20,1e-05,0.19932987913489342,1.4681151062250137,9.767157569527626,27,3.4674991051356,30
0.1,0.001,30,0.0,0.19337107380852103,1.4753539822995663,9.475173011422157,23,3.407997698619448,29
0.5,0.001,20,0.0,0.19128717831335962,1.4797570742666721,9.373058430850506,22,3.5064261896269664,28
0.5,0.001,20,0.0001,0.19684169255197048,1.4803924765437841,9.64523047208786,23,3.6352839305483062,29
0.1,0.001,10,0.0001,0.20616762642748654,1.4824918508529663,10.102203845977783,25,3.448388038143035,31
0.5,0.001,10,1e-05,0.19609092129394412,1.4875294379889965,9.608445152640343,25,3.8555244938019784,31
0.25,0.005,30,0.0,0.17928275535814464,1.4905322268605232,8.784847095608711,28,3.3552443981170654,29
0.5,0.01,30,0.0,0.19482290651649237,1.491277851164341,9.546311363577843,15,4.305787540617443,21
0.5,0.005,30,0.0,0.1870507567655295,1.491630483418703,9.165482982993126,26,3.531502195766994,28
0.25,0.001,30,0.001,0.20392478327266872,1.4961190819740295,9.992308542132378,34,3.415420484542847,40
0.25,0.01,30,0.0,0.18419037386775017,1.5001952610909939,9.025318637490273,24,3.4011841927255904,28
0.1,0.001,30,0.001,0.20255564246326685,1.5003364235162735,9.925213545560837,38,3.463999488136985,44
0.1,0.005,20,1e-05,0.18754307460039854,1.505027700215578,9.189601361751556,14,3.453010416030884,20
0.25,0.01,20,0.0001,0.18719316716305912,1.5064575411379337,9.17245328426361,28,3.4692058398805816,29
0.5,0.0005,20,1e-05,0.2019646456465125,1.5065375939011574,9.896261513233185,26,3.596095748245716,32
0.25,0.0005,20,0.0,0.19988807290792465,1.5066938810050488,9.79450972378254,29,3.3817972796303883,35
0.5,0.0005,10,1e-05,0.2067614388652146,1.5096944272518158,10.131305694580078,25,3.5933791898911998,31
0.5,0.0005,20,0.0001,0.20294250501319766,1.511244535446167,9.944172948598862,32,3.554601126246982,36
0.25,0.001,10,0.0,0.2079008265864104,1.5146060772240162,10.187131762504578,10,3.3839607536792755,16
0.1,0.005,30,0.0001,0.19498484674841166,1.5151004903018475,9.554256051778793,15,3.431683415458316,21
0.5,0.005,30,1e-05,0.18593285465613008,1.515376128256321,9.110699251294136,21,3.4850447177886963,27
0.5,0.0005,30,1e-05,0.19518075580708683,1.5237174332141876,9.56384526193142,34,3.530897752658741,37
0.1,0.005,30,0.0,0.18927929201163352,1.5240803696215153,9.274675585329533,16,3.3775897351178257,22
0.25,0.0005,20,0.0001,0.20046967291273177,1.5250667557120323,9.823005452752113,35,3.422903961605496,36
